global_key,paper_key,name,gender
aaai,conf/aaai/CambriaFBP15,Jie Fu,F
aaai,conf/aaai/CaminadaA05,Leila Amgoud,F
aaai,conf/aaai/Campana05,Ellen Campana,F
aaai,conf/aaai/CaoGZF16,Hongliang Guo,F
aaai,conf/aaai/CaoHC15,Wei Cao,F
aaai,conf/aaai/CaoJWL16,Liujuan Cao,F
aaai,conf/aaai/CaoKSLHA16,Le-le Cao,F
aaai,conf/aaai/CaoL0ZW16,Yue Cao,F
aaai,conf/aaai/CaoLX16,Wei Lu,F
aaai,conf/aaai/CaoPZYY10,Yu Zhang 0006,F
aaai,conf/aaai/CaoSWY10,Dou Shen,F
aaai,conf/aaai/CaoWDLZ15,Li Dong,F
aaai,conf/aaai/CapobiancoGINRV16,Andrea Vanzo,F
aaai,conf/aaai/Caragea02,Doina Caragea,F
aaai,conf/aaai/CarageaCH05,Doina Caragea,F
aaai,conf/aaai/CarageaSH00,Doina Caragea,F
aaai,conf/aaai/CarageaSM12,Cornelia Caragea,F
aaai,conf/aaai/CarageaWGG16,Cornelia Caragea,F
aaai,conf/aaai/CaragiannisKPV16,Marianna Panteli,F
aaai,conf/aaai/CareniniS04,Rita Sharma,F
aaai,conf/aaai/CarpenterF11,Tamitha Carpenter,F
aaai,conf/aaai/CarrilloT16,Elin Anna Topp,F
aaai,conf/aaai/CartwrightRHP11,Jinyu Han,F
aaai,conf/aaai/CashmoreFLM16,Maria Fox,F
aaai,conf/aaai/Cassell00,Justine Cassell,F
aaai,conf/aaai/CassimatisBDMB07,Magdalena D. Bugajska,F
aaai,conf/aaai/CastellanoFPT08,Giovanna Castellano,F
aaai,conf/aaai/Castro-WunschMA16,Karo Castro-Wunsch,F
aaai,conf/aaai/CastroP10,Doina Precup,F
aaai,conf/aaai/CelisKLNT12,Anna R. Karlin,F
aaai,conf/aaai/CeppiGG11,Nicola Gatti 0001,F
aaai,conf/aaai/ChadesCMNSB12,Iadine Chades,F
aaai,conf/aaai/ChaiSM16,Joyce Yue Chai,F
aaai,conf/aaai/ChajewskaKP00,Urszula Chajewska,F
aaai,conf/aaai/ChakrabortiTZK16,Yu Zhang,F
aaai,conf/aaai/ChanD02,Hei Chan,F
aaai,conf/aaai/ChanHLZZ16,Xin Huang,F
aaai,conf/aaai/ChanN05,Yee Seng Chan,F
aaai,conf/aaai/ChandlerH11,Dana Chandler,F
aaai,conf/aaai/ChanelTL13,Caroline Ponzoni Carvalho Chanel,F
aaai,conf/aaai/Chang14,Maria de los Angeles Chang,F
aaai,conf/aaai/ChangCH11,Jane Yung-jen Hsu,F
aaai,conf/aaai/ChangHH07,Jane Yung-jen Hsu,F
aaai,conf/aaai/ChangM06,Le Chang,F
aaai,conf/aaai/ChangNMYZ15,Yi Yang,F
aaai,conf/aaai/ChangNYH14,Yi Yang,F
aaai,conf/aaai/ChangYLZH16,Yi Yang,F
