paper_key,l0,global_key
conf/aaai/Bailey-KelloggR04,1,aaai
conf/aaai/BaileyDK02,1,aaai
conf/aaai/BaillieEP11,0,aaai
conf/aaai/BalabanovJJW15,1,aaai
conf/aaai/BalabanovJMS16,1,aaai
conf/aaai/BalachandranA16,1,aaai
conf/aaai/BalafrejBBT14,1,aaai
conf/aaai/BalduzziVB15,1,aaai
conf/aaai/BalkanskiBKP14,1,aaai
conf/aaai/BallesterA16,1,aaai
conf/aaai/BaltesA06,0,aaai
conf/aaai/BalujaR05,1,aaai
conf/aaai/BandoOAAIYO15,1,aaai
conf/aaai/BandyopadhyayNK16,1,aaai
conf/aaai/Banerjee13,1,aaai
conf/aaai/BanerjeeK10,1,aaai
conf/aaai/BanerjeeK11,1,aaai
conf/aaai/BanerjeeKL10,1,aaai
conf/aaai/BanerjeeLKY12,1,aaai
conf/aaai/BanerjeeLT16,1,aaai
conf/aaai/BanerjeeMDSN15,1,aaai
conf/aaai/BanerjeeP04,1,aaai
conf/aaai/BanerjeeP05,1,aaai
conf/aaai/BanerjeeRGEKD16,1,aaai
conf/aaai/Bao11,1,aaai
conf/aaai/BaoFZ14,1,aaai
conf/aaai/BaoSH07,1,aaai
conf/aaai/BaoVSH08,1,aaai
conf/aaai/BaoZ12,1,aaai
conf/aaai/BaoZZ11,1,aaai
conf/aaai/BaptistaFPPY14,1,aaai
conf/aaai/Bar-HaimDGS07,1,aaai
conf/aaai/BaralDS08,1,aaai
conf/aaai/BaralEZ05,1,aaai
conf/aaai/BaralG05,1,aaai
conf/aaai/BaralG15,1,aaai
conf/aaai/BaralTT02,1,aaai
conf/aaai/BaralZ06,1,aaai
conf/aaai/BaralZ08,1,aaai
conf/aaai/BarbellaF11,0,aaai
conf/aaai/BarberAFGGHLMPV04,1,aaai
conf/aaai/BarberGGJB00,1,aaai
conf/aaai/BarberGHKLLMM00,1,aaai
conf/aaai/BarbuPZ13,1,aaai
conf/aaai/BarbulescuWH04,0,aaai
conf/aaai/BarbulescuWW00,0,aaai
conf/aaai/BardB07,0,aaai
conf/aaai/BardNSB15,0,aaai
conf/aaai/Bardram11,0,aaai
conf/aaai/BareinboimP11,1,aaai
conf/aaai/BareinboimP12,1,aaai
conf/aaai/BareinboimP13,1,aaai
conf/aaai/BareinboimT15,1,aaai
conf/aaai/BareinboimTP14,1,aaai
conf/aaai/BarishKCMPS00,1,aaai
conf/aaai/BarishKM00,0,aaai
conf/aaai/BarkerACFFGHHIKMPPTY07,1,aaai
conf/aaai/BarkerCCCHJMPPSW07,1,aaai
conf/aaai/BarkerK11,0,aaai
conf/aaai/BarkerK12,0,aaai
conf/aaai/BarkerK12a,0,aaai
conf/aaai/BarkerK15,0,aaai
conf/aaai/BarnesGFD15,0,aaai
conf/aaai/Barreto14,0,aaai
conf/aaai/BarretoBPP16,0,aaai
conf/aaai/BarrettEM08,1,aaai
conf/aaai/BarrettS11,0,aaai
conf/aaai/BarrettS15,0,aaai
conf/aaai/BarrettS15a,0,aaai
conf/aaai/BarrettSKR13,0,aaai
conf/aaai/BarriosSGMMPT15,1,aaai
conf/aaai/BartakKZ10,1,aaai
conf/aaai/BartoliniLMB12,0,aaai
conf/aaai/BarzilayCHW00,1,aaai
conf/aaai/Basak16,1,aaai
conf/aaai/BasakMHM16,1,aaai
conf/aaai/BasakMHMJMA16,1,aaai
conf/aaai/BasharuAA05,1,aaai
conf/aaai/BasilicoG11,0,aaai
conf/aaai/BasilicoGV10,0,aaai
conf/aaai/BasilicoNG16,0,aaai
conf/aaai/Basu04,1,aaai
conf/aaai/BasuBK16,1,aaai
conf/aaai/BasuC13,1,aaai
conf/aaai/BasuFDL10,1,aaai
conf/aaai/Bauer13,0,aaai
conf/aaai/BaumelCE16,1,aaai
conf/aaai/BayerSC06,1,aaai
conf/aaai/BaylessBHH15,1,aaai
conf/aaai/BazzazzadehBE11,0,aaai
conf/aaai/Beal05,0,aaai
conf/aaai/BealLL10,1,aaai
conf/aaai/BealQL06,1,aaai
conf/aaai/BeameS14,1,aaai
conf/aaai/BeamerRG08,1,aaai
conf/aaai/BeaudryBCRLKM05,1,aaai
conf/aaai/BeckDEF15,1,aaai
conf/aaai/BeckWB00,0,aaai
conf/aaai/Becker11,0,aaai
conf/aaai/BeckerMC07,0,aaai
conf/aaai/BednarM00,1,aaai
conf/aaai/BeerMW10,0,aaai
conf/aaai/BeheshtiAS15,1,aaai
conf/aaai/BehpourZ15,1,aaai
conf/aaai/BeiCGHS16,1,aaai
conf/aaai/BeiCHTY12,1,aaai
conf/aaai/BejanH08,1,aaai
conf/aaai/BejarFMMSV12,1,aaai
conf/aaai/BejarM00,1,aaai
conf/aaai/BelardinelliH16,0,aaai
conf/aaai/BeldiceanuFPH14,0,aaai
conf/aaai/BellSB00,0,aaai
conf/aaai/Belle16,0,aaai
conf/aaai/BelleBP16,0,aaai
conf/aaai/BelleL10,0,aaai
conf/aaai/BelleL11,0,aaai
conf/aaai/BelleL14,0,aaai
conf/aaai/BelleLL16,0,aaai
conf/aaai/BellemareOGTM16,1,aaai
conf/aaai/BellemareVB12,0,aaai
conf/aaai/BelloniBBBBCCEG15,0,aaai
conf/aaai/Belov05,0,aaai
conf/aaai/BelovS05,0,aaai
conf/aaai/BeltagyM14,0,aaai
conf/aaai/Ben-Eliyahu-Zohary00,1,aaai
conf/aaai/BenabbouP15,1,aaai
conf/aaai/Benedetti06,0,aaai
conf/aaai/BenferhatLR07,0,aaai
conf/aaai/BenferhatS05,1,aaai
conf/aaai/BenferhatS07,1,aaai
conf/aaai/BenhamouS08,1,aaai
conf/aaai/BenischDS06,0,aaai
conf/aaai/BenischSS08,1,aaai
conf/aaai/BennettCTH00,1,aaai
conf/aaai/Benson-TilsenS16,0,aaai
conf/aaai/BentBT10,0,aaai
conf/aaai/BentH04,0,aaai
conf/aaai/BentH07,0,aaai
conf/aaai/BentoDMY15,1,aaai
conf/aaai/BentonGBMRCHB16,0,aaai
conf/aaai/BentonPHD16,0,aaai
conf/aaai/BenzmullerV05,1,aaai
conf/aaai/BercherRHGHBNHM15,1,aaai
conf/aaai/BergPA12,1,aaai
conf/aaai/BergSHG11,1,aaai
conf/aaai/BergeronBGGB16,0,aaai
conf/aaai/BerglerD15,1,aaai
conf/aaai/BerlinGTB06,0,aaai
conf/aaai/BermbachKWRZ11,1,aaai
conf/aaai/BernsteinPZF02,0,aaai
conf/aaai/BesnardGL15,0,aaai
conf/aaai/BesnardH00,0,aaai
conf/aaai/BesnardH05,0,aaai
conf/aaai/BesseC07,1,aaai
conf/aaai/BessiereCKO06,0,aaai
conf/aaai/BessiereHHKQW08,1,aaai
conf/aaai/BessiereHHW04,0,aaai
conf/aaai/BessiereKNQW10,0,aaai
conf/aaai/BessierePS15,0,aaai
conf/aaai/BeyersdorffCJ16,1,aaai
conf/aaai/BeygelzimerLZ05,0,aaai
conf/aaai/BeynierM06,1,aaai
conf/aaai/BhatIM06,1,aaai
conf/aaai/BhatiaM10,1,aaai
conf/aaai/BhatiaOXH07,1,aaai
conf/aaai/BhatiaSTB15,1,aaai
conf/aaai/Bhatt13,1,aaai
conf/aaai/Bhatt13a,1,aaai
conf/aaai/BhattGC13,1,aaai
conf/aaai/BhattSF13,1,aaai
conf/aaai/BhattSSKG16,1,aaai
conf/aaai/Bhattacharya10,1,aaai
conf/aaai/BhattacharyaG07,1,aaai
conf/aaai/BhattacharyaLK12,1,aaai
conf/aaai/BholeU15,1,aaai
conf/aaai/BiK14,1,aaai
conf/aaai/BiMA06,1,aaai
conf/aaai/BiX07,1,aaai
conf/aaai/BidyukD06,1,aaai
conf/aaai/BiemBFKMNPRRSST15,1,aaai
conf/aaai/Bienvenu07,0,aaai
conf/aaai/Bienvenu08,0,aaai
conf/aaai/Bienvenu12,0,aaai
conf/aaai/BienvenuBG14,0,aaai
conf/aaai/BienvenuBG16,0,aaai
conf/aaai/BienvenuFM10,0,aaai
conf/aaai/Bigham15,0,aaai
conf/aaai/BikakisA05,1,aaai
